Lon,Lat,海拔高度,土壤容重,土壤含水率,森林类型,
103.567,31.118,1582,1.34346,43.47%,针阔混交林,
102.995,30.078,999,1.12348,37.19%,针阔混交林,
103.549,29.758,512,1.13549,0.12%,阔叶林,
103.548,29.368,486,1.50458,64.55%,阔叶林,
103.602,28.490 ,1098,1.25604,50.60%,阔叶林,
103.727,28.376,1816,1.21702,122.52%,阔叶林,
103.588,28.812,1129,1.56943,55.88%,阔叶林,
103.958,28.884,838,1.47686,61.16%,针叶林,
103.471,30.168,553,1.39627,25.96%,阔叶林,
103.419,30.415,526,1.58197,34.94%,针阔混交林,
103.186,30.299,659,1.39200 ,33.42%,针叶林,
103.222,30.536,1047,1.22426,56.91%,针叶林,
103.861,31.122,975,1.56549,31.73%,阔叶林,
103.999,31.358,1035,1.03742,39.47%,针叶林,
103.476,30.917,1042,1.42291,56.86%,针叶林,
103.907,31.691,1948,1.50719 ,31.55%,针叶林,
104.311,31.986,1034,1.56508 ,43.57%,针阔混交林,
104.542,32.424,1379,1.40200 ,26.34%,针阔混交林,
103.339,29.534,2376,1.31173,49.25%,针阔混交林,
103.188,29.762,1206,1.37956,55.35%,针叶林,
103.211,30.684,1975,1.31662,57.70%,阔叶林,
104.146,31.407,724,1.52912,79.75%,针叶林,
