多糖	Polysaccharides
单糖	Monosaccharides
淀粉	starch
纤维素	Cellulose
糖原	Glycogen
差向异构体	Epimers
变旋	Mutarotation
异头效应	Anomeric effect
异头碳	Anomeric Carbon
异头中心	Anomalous Center
异头物	Heteromorph
还原糖	Reducing sugar
转化糖	Invert Sugar
壳多糖	Chitosan
肽聚糖	Peptidoglycan
革兰氏阳性菌	Gram-positive bacteria
革兰氏阴性菌	Gram-negative bacteria
磷壁酸	Teichoic acid
胞外基质	Extracellular matrix
糖胺聚糖	Glycosaminoglycans
蛋白聚糖	Proteoglycan
糖蛋白	Glycoprotein
饱和脂肪酸	Saturated fatty acids
不饱和脂肪酸	Unsaturated fatty acids
反式脂肪酸	Trans fatty acids
酸值	Acid value
碘值	Iodine value
皂化值	Saponification value
乳化	emulsification
三酰甘油	Triglycerides
脂肪	Fat
乙酰值	Acetyl value
皂化作用	Saponification
蜡	wax
磷脂	Phospholipids
甘油磷脂	Glycerophospholipids
卵磷脂	Lecithin
磷脂酰胆碱	Phosphatidylcholine
磷脂酰乙醇胺	Phosphatidylethanolamine
脑磷脂	Cephalin
心磷脂	Cardiolipin
双磷脂酰甘油	Diphosphatidylglycerol
类固醇	Steroids
胆固醇	cholesterol
植物固醇	Plant Sterols
固醇衍生物	Sterol derivatives
活性脂质	Active lipids
脂锚定蛋白	Lipid anchored protein
脱辅基蛋白	Apoprotein
载脂蛋白	Apolipoprotein
膜脂	Membrane lipids
外周膜蛋白	Peripheral membrane proteins
内在膜蛋白	Intrinsic membrane proteins
兼在蛋白	Protein
流动镶嵌模型	Fluid Mosaic Model
质粒	Plasmids
核苷	Nucleosides
核苷酸	Nucleotides
糖苷	Glycoside
糖苷键	Glycosidic bond
回文结构	Palindrome
双螺旋模型	Double helix model
重复序列	Repeating sequence
DNA超螺旋	DNA supercoiling
C值悖论	The C-value paradox
折叠悖论	The Folding Paradox
单顺反子	Monocistronic
多顺反子	Polycistronic
tRNA的三叶草结构	The tRNA cloverleaf structure
tRNA的倒L结构	Inverted L structure of tRNA
核内小RNA	Small nuclear RNA
核仁小RNA	Small nucleolar RNA
环状RNA	Circular RNA
核内不均一RNA	Nuclear heterogeneous RNA
微RNA	MicroRNA
小干扰RNA	Small interfering RNA
RNA干扰	RNA interference
xistRNA	kistRNA
tmRNA	tmRNA
向导RNA	Guide RNA
gsRNA	gsRNA
摩尔磷吸光系数	Molar phosphorus absorption coefficient
增色效应	Color enhancement effect
减色效应	Hypochromatic effect
单核苷酸多态性	Single Nucleotide Polymorphism
核酸变性	Nucleic acid denaturation
溶解温度	Dissolving temperature
DNA复性	DNA duplication
southern印迹法	Southern blotting
northern印迹法	Northern blot
退火	annealing
基因探针	Gene probe
核酸分子杂交	Nucleic acid hybridization
琼脂糖凝胶电泳	Agarose gel electrophoresis
电泳	Electrophoresis
聚丙烯酰胺凝胶电泳	Polyacrylamide gel electrophoresis
卫星DNA	Satellite DNA
sanger测序法	Sanger sequencing
加减法测序	Addition-subtraction sequencing
化学法测序	Chemical sequencing
双脱氧链终止法	Dideoxy chain termination
DNA微阵列	DNA Microarray
基因芯片	Gene chip
定磷法	Phosphorus determination method
定氮法	Nitrogen determination method
紫外分光光度法	UV spectrophotometry
维生素	Vitamins
视黄醇	Retinol
生育酚	Tocopherol
核黄素	Riboflavin
吡哆醛	Pyridoxal
钴胺素	Cobalamin
抗坏血酸	ascorbic acid
生物素	Biotin
叶酸	Folic acid
烟酸	niacin
烟酰胺	Niacinamide
激素	hormone
第二信使	Second Messenger
G蛋白	G protein
脱敏现象	Desensitization
G蛋白偶联受体	G protein-coupled receptors
新陈代谢	Metabolism
高能磷酸化合物	High energy phosphate compounds
磷酸化势	Phosphorylation potential
糖酵解	Glycolysis
发酵	Fermentation
乳酸发酵	Lactic acid fermentation
乙醇发酵	Ethanol fermentation
底物水平磷酸化	Substrate level phosphorylation
巴斯德效应	Pasteur effect
己糖激酶	Hexokinase
磷酸果糖激酶	Phosphofructokinase
柠檬酸循环	Citric acid cycle
乙醛酸循环	Glyoxylate cycle
乙醛酸途径	Glyoxylate pathway
氧化磷酸化	Oxidative phosphorylation
电子传递链	Electron transport chain
呼吸链Q循环	Respiratory chain Q cycle
P/O比	P/O Ratio
化学渗透假说	Chemiosmotic hypothesis
ATP合酶	ATP synthase
解偶联剂	Uncoupler
氧化磷酸化抑制剂	Oxidative phosphorylation inhibitors
3-磷酸甘油穿梭	3-Glycerol Phosphate Shuttle
苹果酸-天冬氨酸穿梭	Malate-Aspartate Shuttle
戊糖磷酸途径	Pentose phosphate pathway
糖异生	Gluconeogenesis
可立氏循环	Coleman cycle
